time,liver_damage,liver_viability,liver_GSH,heart_V,heart_force,heart_hERG_block,C_blood,C_liver,C_heart,IL6,TNFa,IL10,inflammatory_index
24.0,0.7682789472615771,0.23172105273842292,0.0,-83.2518941030245,2.8856814784999145e-09,0.0,0.0,2.421367093820749e+102,2.421367093820749e+102,158578.5502854584,99359.28556226053,0.0,257937835847.71893
25.0,0.7682789472615771,0.23172105273842292,0.0,-83.18200315166638,2.9230878846590122e-09,0.0,0.0,3.2562612820103046e+106,3.2562612820103046e+106,166451.38719416302,103313.80601235901,0.0,269765193206.52203
26.0,0.7682789472615771,0.23172105273842292,0.0,-83.11231669717337,2.971052836685684e-09,0.0,0.0,4.379029335856808e+110,4.379029335856808e+110,174624.23178108782,107451.5190133983,0.0,282075750794.48615
27.0,0.7682789472615771,0.23172105273842292,0.0,-83.04283403333291,3.0259222204269226e-09,0.0,0.0,5.888930974376838e+114,5.888930974376838e+114,183116.30586975944,111779.44598164593,0.0,294895751851.4054
28.0,0.7682789472615771,0.23172105273842292,0.0,-82.97355445428039,3.0854836692728644e-09,0.0,0.0,7.919450947041777e+118,7.919450947041779e+118,191946.92987369667,116305.04790197947,0.0,308251977775.6762
29.0,0.7682789472615771,0.23172105273842292,0.0,-82.90447725447363,3.148395613649958e-09,0.0,0.0,1.0650099920595124e+123,1.0650099920595127e+123,201135.62134492616,121036.23029540833,0.0,322171851640.3345
30.0,0.7682789472615771,0.23172105273842292,0.0,-82.83560172866625,3.213845589947159e-09,0.0,0.0,1.4322284344854584e+127,1.4322284344854584e+127,210702.18603273088,125981.34946559186,0.0,336683535498.32275
31.0,0.7682789472615771,0.23172105273842292,0.0,-82.76692717188114,3.2813438191640916e-09,0.0,0.0,1.9260648292903925e+131,1.9260648292903925e+131,220666.80261561653,131149.22025936947,0.0,351816022874.986
32.0,0.7682789472615771,0.23172105273842292,0.0,-82.69845287938439,3.3505977776960683e-09,0.0,0.0,2.590177402784341e+135,2.590177402784341e+135,231050.10213026818,136549.125435368,0.0,367599227565.63617
33.0,0.7682789472615771,0.23172105273842292,0.0,-82.63017814665747,3.421435711825583e-09,0.0,0.0,3.4832778605725283e+139,3.4832778605725294e+139,241873.24300110404,142190.82665991777,0.0,384064069661.02185
34.0,0.7682789472615771,0.23172105273842292,0.0,-82.56210226937078,3.49375989810597e-09,0.0,0.0,4.684321869580048e+143,4.684321869580048e+143,253157.98247006463,148084.57711255318,0.0,401242559582.61786
35.0,0.7682789472615771,0.23172105273842292,0.0,-82.49422454335416,3.567518044899658e-09,0.0,0.0,6.2994892328857404e+147,6.2994892328857404e+147,264926.7451362128,154241.13566786807,0.0,419167880804.0809
36.0,0.7682789472615771,0.23172105273842292,0.0,-82.42654426456974,3.6426857808649945e-09,0.0,0.0,8.471570848482499e+151,8.471570848482499e+151,277202.68923667504,160671.78261689382,0.0,437874471853.5689
37.0,0.7682789472615771,0.23172105273842292,0.0,-82.35906072908286,3.719255927705564e-09,0.0,0.0,1.1392592317835012e+156,1.1392592317835012e+156,290009.7712328384,167388.33689397905,0.0,457398108126.81744
38.0,0.7682789472615771,0.23172105273842292,0.0,-82.29177323303209,3.797231927386277e-09,0.0,0.0,1.5320790210193745e+160,1.5320790210193745e+160,303372.80920719734,174403.17478121695,0.0,477775983988.4143
39.0,0.7682789472615771,0.23172105273842292,0.0,-82.22468107260018,3.876623814515062e-09,0.0,0.0,2.0603441790619148e+164,2.0603441790619148e+164,317317.5455256534,181729.25007001896,0.0,499046795595.67236
40.0,0.7682789472615771,0.23172105273842292,0.0,-82.15778354398425,3.95744574836535e-09,0.0,0.0,2.7707566502476337e+168,2.770756650247634e+168,331870.70917643944,189380.11566748327,0.0,521250824843.9228
41.0,0.7682789472615771,0.23172105273842292,0.0,-82.09107994336378,4.03971450075613e-09,0.0,0.0,3.72612134074944e+172,3.726121340749441e+172,347060.078159284,197369.94664323374,0.0,544430024802.51776
42.0,0.7682789472615771,0.23172105273842292,0.0,-82.02456956687043,4.123448529790784e-09,0.0,0.0,5.010898465134979e+176,5.010898465134979e+176,362914.5422662301,205713.56472014534,0.0,568628106986.3755
43.0,0.7682789472615771,0.23172105273842292,0.0,-81.9582517105565,4.208667412689236e-09,0.0,0.0,6.73867035764376e+180,6.73867035764376e+180,379464.1665680122,214426.46421971594,0.0,593890630787.7281
44.0,0.7682789472615771,0.23172105273842292,0.0,-81.89212567036293,4.295391498724763e-09,0.0,0.0,9.062182861005844e+184,9.062182861005844e+184,396740.2558965218,223524.83947975814,0.0,620265095376.2799
45.0,0.7682789472615771,0.23172105273842292,0.0,-81.82619074208647,4.383641697073051e-09,0.0,0.0,1.218684901438378e+189,1.218684901438378e+189,414775.4205941603,233025.61376858375,0.0,647801034362.7441
46.0,0.7682789472615771,0.23172105273842292,0.0,-81.76044622134802,4.473439347357679e-09,0.0,0.0,1.63889088509192e+193,1.6388908850919205e+193,433603.6437843631,242946.4697259736,0.0,676550113510.3368
47.0,0.7682789472615771,0.23172105273842292,0.0,-81.69489140355799,4.564806140885159e-09,0.0,0.0,2.203985074457896e+197,2.203985074457896e+197,453260.35040391114,253305.8813670119,0.0,706566231770.9231
