# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
1.930,26.927304,26.927304,5.711714,-2.855857,100.00
1.940,26.898745,26.898745,5.708229,-2.854115,100.00
1.950,26.870204,26.870204,5.704746,-2.852373,100.00
1.960,26.841680,26.841680,5.701264,-2.850632,100.00
1.970,26.813174,26.813174,5.697783,-2.848892,100.00
1.980,26.784685,26.784685,5.694304,-2.847152,100.00
1.990,26.756214,26.756214,5.690827,-2.845413,100.00
2.000,26.727759,26.727759,5.869310,-2.934655,100.00
2.010,26.698413,26.698413,5.865599,-2.932800,100.00
2.020,26.669085,26.669085,5.861890,-2.930945,100.00
2.030,26.639775,26.639775,5.858182,-2.929091,100.00
2.040,26.610484,26.610484,5.854476,-2.927238,100.00
2.050,26.581212,26.581212,5.850772,-2.925386,100.00
2.060,26.551958,26.551958,5.847069,-2.923535,100.00
2.070,26.522723,26.522723,5.843368,-2.921684,100.00
2.080,26.493506,26.493506,6.018025,-3.009013,100.00
2.090,26.463416,26.463416,6.014087,-3.007043,100.00
2.100,26.433346,26.433346,6.010150,-3.005075,100.00
2.110,26.403295,26.403295,6.006215,-3.003108,100.00
2.120,26.373264,26.373264,6.002282,-3.001141,100.00
2.130,26.343252,26.343252,5.998351,-2.999176,100.00
2.140,26.313261,26.313261,5.994422,-2.997211,100.00
2.150,26.283288,26.283288,5.990495,-2.995247,100.00
2.160,26.253336,26.253336,6.161394,-3.080697,100.00
2.170,26.222529,26.222529,6.157225,-3.078613,100.00
2.180,26.191743,26.191743,6.153059,-3.076529,100.00
2.190,26.160978,26.160978,6.148894,-3.074447,100.00
2.200,26.130233,26.130233,6.144732,-3.072366,100.00
2.210,26.099509,26.099509,6.140571,-3.070286,100.00
2.220,26.068807,26.068807,6.136413,-3.068206,100.00
2.230,26.038125,26.038125,6.132256,-3.066128,100.00
2.240,26.007463,26.007463,6.299464,-3.149732,100.00
2.250,25.975966,25.975966,6.295063,-3.147532,100.00
2.260,25.944491,25.944491,6.290665,-3.145332,100.00
2.270,25.913037,25.913037,6.286268,-3.143134,100.00
2.280,25.881606,25.881606,6.281874,-3.140937,100.00
2.290,25.850197,25.850197,6.277482,-3.138741,100.00
2.300,25.818809,25.818809,6.273092,-3.136546,100.00
2.310,25.787444,25.787444,6.268704,-3.134352,100.00
2.320,25.756100,25.756100,6.432288,-3.216144,100.00
2.330,25.723939,25.723939,6.427652,-3.213826,100.00
2.340,25.691800,25.691800,6.423019,-3.211510,100.00
2.350,25.659685,25.659685,6.418389,-3.209194,100.00
2.360,25.627593,25.627593,6.413760,-3.206880,100.00
2.370,25.595525,25.595525,6.409134,-3.204567,100.00
2.380,25.563479,25.563479,6.404511,-3.202255,100.00
2.390,25.531456,25.531456,6.399890,-3.199945,100.00
2.400,25.499457,25.499457,6.559914,-3.279957,100.00
2.410,25.466657,25.466657,6.555043,-3.277521,100.00
2.420,25.433882,25.433882,6.550174,-3.275087,100.00
2.430,25.401131,25.401131,6.545307,-3.272654,100.00
2.440,25.368405,25.368405,6.540443,-3.270222,100.00
2.450,25.335703,25.335703,6.535582,-3.267791,100.00
2.460,25.303025,25.303025,6.530723,-3.265362,100.00
2.470,25.270371,25.270371,6.525867,-3.262934,100.00
2.480,25.237742,25.237742,6.682397,-3.341198,100.00
2.490,25.204330,25.204330,6.677288,-3.338644,100.00
2.500,25.170943,25.170943,6.672181,-3.336091,100.00
2.510,25.137582,25.137582,6.667077,-3.333539,100.00
2.520,25.104247,25.104247,6.661976,-3.330988,100.00
2.530,25.070937,25.070937,6.656878,-3.328439,100.00
2.540,25.037653,25.037653,6.651783,-3.325891,100.00
2.550,25.004394,25.004394,6.646690,-3.323345,100.00
2.560,24.971160,24.971160,6.799788,-3.399894,100.00
2.570,24.937161,24.937161,6.794440,-3.397220,100.00
2.580,24.903189,24.903189,6.789095,-3.394547,100.00
2.590,24.869244,24.869244,6.783753,-3.391876,100.00
2.600,24.835325,24.835325,6.778414,-3.389207,100.00
2.610,24.801433,24.801433,6.773077,-3.386539,100.00
2.620,24.767568,24.767568,6.767744,-3.383872,100.00
2.630,24.733729,24.733729,6.762414,-3.381207,100.00
2.640,24.699917,24.699917,6.912142,-3.456071,100.00
