# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
1.840,27.149871,-2.777826,92,27.177649,-2.777826,5.555652,100.00
1.850,27.122109,-2.776193,92,27.149871,-2.776193,5.552386,100.00
1.860,27.094363,-2.774561,92,27.122109,-2.774561,5.549122,100.00
1.870,27.066634,-2.772930,92,27.094363,-2.772930,5.545859,100.00
1.880,27.038921,-2.771299,92,27.066634,-2.771299,5.542598,100.00
1.890,27.011224,-2.769669,92,27.038921,-2.769669,5.539338,100.00
1.900,26.983544,-2.768040,92,27.011224,-2.768040,5.536079,100.00
1.910,26.955880,-2.766411,92,26.983544,-2.766411,5.532822,100.00
1.920,26.927304,-2.857601,91,26.955880,-2.857601,5.715201,100.00
1.930,26.898745,-2.855857,91,26.927304,-2.855857,5.711714,100.00
1.940,26.870204,-2.854115,91,26.898745,-2.854115,5.708229,100.00
1.950,26.841680,-2.852373,91,26.870204,-2.852373,5.704746,100.00
1.960,26.813174,-2.850632,91,26.841680,-2.850632,5.701264,100.00
1.970,26.784685,-2.848892,91,26.813174,-2.848892,5.697783,100.00
1.980,26.756214,-2.847152,91,26.784685,-2.847152,5.694304,100.00
1.990,26.727759,-2.845413,91,26.756214,-2.845413,5.690827,100.00
2.000,26.698413,-2.934655,90,26.727759,-2.934655,5.869310,100.00
2.010,26.669085,-2.932800,90,26.698413,-2.932800,5.865599,100.00
2.020,26.639775,-2.930945,90,26.669085,-2.930945,5.861890,100.00
2.030,26.610484,-2.929091,90,26.639775,-2.929091,5.858182,100.00
2.040,26.581212,-2.927238,90,26.610484,-2.927238,5.854476,100.00
2.050,26.551958,-2.925386,90,26.581212,-2.925386,5.850772,100.00
2.060,26.522723,-2.923535,90,26.551958,-2.923535,5.847069,100.00
2.070,26.493506,-2.921684,90,26.522723,-2.921684,5.843368,100.00
2.080,26.463416,-3.009013,89,26.493506,-3.009013,6.018025,100.00
2.090,26.433346,-3.007043,89,26.463416,-3.007043,6.014087,100.00
2.100,26.403295,-3.005075,89,26.433346,-3.005075,6.010150,100.00
2.110,26.373264,-3.003108,89,26.403295,-3.003108,6.006215,100.00
2.120,26.343252,-3.001141,89,26.373264,-3.001141,6.002282,100.00
