time,liver_damage,liver_viability,liver_GSH,heart_V,heart_force,heart_hERG_block,C_blood,C_liver,C_heart,IL6,TNFa,IL10,inflammatory_index
60.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.85962023719694,1.5681801545114516e-08,0.0,0.0,2.5924511293609416e+250,2.5924511293609416e+250,796898.6097059984,434007.30461049156,0.0,1230905914316.4902
61.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.79664708040526,1.599023248999639e-08,0.0,0.0,3.4863355744714914e+254,3.486335574471492e+254,832562.6648135791,452818.0399077436,0.0,1285380704721.3228
62.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.73385300894581,1.630383952714012e-08,0.0,0.0,4.6884338918364306e+258,4.6884338918364306e+258,869801.0222595932,472459.4041502347,0.0,1342260426409.8281
63.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.67123731008314,1.6622685864203994e-08,0.0,0.0,6.305019091988226e+262,6.305019091988226e+262,908683.2416312253,492968.063630027,0.0,1401651305261.2524
64.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.60879927025665,1.6946836875257227e-08,0.0,0.0,8.479007418565716e+266,8.479007418565716e+266,949281.9476940883,514382.30469025206,0.0,1463664252384.3406
65.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.54653817504122,1.7276359732061387e-08,0.0,0.0,1.1402593038211014e+271,1.1402593038211016e+271,991672.9664980816,536742.1051168249,0.0,1528415071614.9065
66.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.4844533091076,1.7611323129505288e-08,0.0,0.0,1.5334239207099527e+275,1.5334239207099527e+275,1035935.4673964339,560089.2086998054,0.0,1596024676096.2395
67.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.42254395618303,1.795179708152894e-08,0.0,0.0,2.0621528039506365e+279,2.0621528039506365e+279,1082152.111251108,584467.203102172,0.0,1666619314353.2803
68.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.36080939901109,1.8297852769828123e-08,0.0,0.0,2.7731888940878393e+283,2.773188894087839e+283,1130409.2051082994,609921.6011801179,0.0,1740330806288.4175
69.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.29924891931108,1.8649562432086066e-08,0.0,0.0,3.729392229110598e+287,3.729392229110599e+287,1180796.863638947,636499.9259055968,0.0,1817296789544.5437
70.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.23786179773796,1.9006999279816288e-08,0.0,0.0,5.015297165008036e+291,5.015297165008037e+291,1233409.17765105,664251.7990487005,0.0,1897660976699.7505
71.0,0.7456862959221485,0.2543137040778515,7.428924119480956,-80.17664731384068,1.937023743839438e-08,0.0,0.0,6.744585741611925e+295,6.744585741611925e+295,1288344.3899931037,693229.0337845979,0.0,1981573423777.7017
